strategy_dir,bbox_name,num_outputs,mean_index,mean_threshold,mean_inside_output_target_l1,mean_inside_output_target_mse,mean_outside_output_source_l1,mean_outside_output_source_mse,mean_outside_outer_output_source_l1,mean_outside_outer_output_source_mse,mean_whole_output_source_l1,mean_whole_output_target_l1,mean_clip_output_prompt_similarity,mean_clip_target_prompt_similarity,mean_lpips_output_target_whole,mean_lpips_output_source_whole,mean_lpips_output_target_inside_bbox,mean_lpips_output_source_inside_bbox,mean_changed_pixels,mean_bbox_pixels,mean_changed_bbox_iou,mean_changed_inside_bbox_ratio,mean_bbox_coverage_by_change,mean_changed_center_x,mean_changed_center_y,mean_changed_to_bbox_center_distance_px,mean_changed_to_bbox_center_distance_norm
strategy_c_top-left_ablation,bottom_right,3,1.0,0.08,0.1330442577600479,0.059455529476205506,0.03558195320268472,0.005405658545593421,0.032699789851903915,0.003865929087623954,0.06112190832694372,0.09806501617034276,nan,nan,0.08071987703442574,0.04428270707527796,0.10540214677651723,0.10565968230366707,39258.333333333336,83264.0,0.2585387809908238,0.5815040259174123,0.30977416644408834,306.12221272786456,261.597412109375,129.43712670797868,0.1787614649072541
strategy_c_top-left_ablation,center,3,1.0,0.08,0.20578769346078238,0.09034806738297145,0.03912711640199026,0.006463913867870967,0.03417233688135942,0.0033793171557287374,0.08632860084374745,0.0925466666618983,nan,nan,0.06421704962849617,0.06540428971250851,0.16673847287893295,0.1876053288578987,58173.0,83264.0,0.43905291541332314,0.7082346528928772,0.540964272995523,240.41394551595053,252.50549825032553,23.458115641990087,0.03239725125841681
strategy_c_top-left_ablation,original,3,1.0,0.08,0.21204822262128195,0.0917908325791359,0.03499209073682626,0.003937356639653444,0.034324491396546364,0.003072639422801634,0.09006164719661076,0.08932146430015564,nan,nan,0.0594268391529719,0.06665623063842456,0.17033080259958902,0.20564225812753043,62000.0,83264.0,0.4797978946116099,0.7464235550939695,0.5741371313148657,245.5809326171875,243.6657460530599,25.71328730432712,0.03551179652243685
strategy_c_top-left_ablation,top_left,3,1.0,0.08,0.11649162570635478,0.0400201678276062,0.029450252031286556,0.002481771671834091,0.029011700302362442,0.002305022246825198,0.05794800197084745,0.07909845684965451,nan,nan,0.05781827991207441,0.04189571365714073,0.08842718601226807,0.10349837318062782,39513.0,83264.0,0.2844424432874888,0.6970385385658556,0.331392163970289,195.03756713867188,216.96297709147134,97.7512468783735,0.1350011123772231
strategy_c_top-left_ablation,zero,3,1.0,0.08,nan,nan,0.056868163868784904,0.015358183067291975,0.056953386714061104,0.015390730307747921,0.056868163868784904,0.08341545859972636,nan,nan,0.06201722162465254,0.04016569908708334,nan,nan,39134.0,0.0,0.0,0.0,nan,218.92726135253906,202.72366587320963,301.8999482213021,0.4169443371624029
strategy_cplus_top-left_ablation,bottom_right,3,1.0,0.08,0.19482542326052985,0.11487116602559884,0.03069279094537099,0.0037524345874165497,0.029323697090148926,0.0026572057589267692,0.0632587658862273,0.10097374270359676,nan,nan,0.07564067964752515,0.03719070926308632,0.13913887118299803,0.13772456720471382,33586.666666666664,83264.0,0.28166656175782995,0.6415923900307172,0.34606732279583846,331.44690958658856,309.3759460449219,109.5145062761407,0.15124697270733553
strategy_cplus_top-left_ablation,center,3,1.0,0.08,0.1830967664718628,0.07754819840192795,0.035538796335458755,0.0045779117693503695,0.03333782156308492,0.002958315657451749,0.07539666692415874,0.0859192522863547,nan,nan,0.05718493709961573,0.053875938057899475,0.14246220886707306,0.15919420619805655,47760.666666666664,83264.0,0.35294477288962584,0.6690430460590658,0.4240365259017603,247.4886016845703,246.06951904296875,30.35540748333352,0.041922879838175775
strategy_cplus_top-left_ablation,original,3,1.0,0.08,0.21036464969317117,0.09410566836595535,0.034964886804421745,0.004119234237199028,0.03374233655631542,0.0029681550416474542,0.08281540870666504,0.08796612670024236,nan,nan,0.05728971088925997,0.059999849647283554,0.1625085473060608,0.17588958144187927,51899.0,83264.0,0.3762445880099605,0.6949184823905717,0.4490219072738604,249.6621297200521,254.34586588541666,32.135355207129635,0.04438110856015585
strategy_cplus_top-left_ablation,top_left,3,1.0,0.08,0.1426681155959765,0.052185200775663056,0.028977627555529278,0.0023013794949899116,0.028988450144728024,0.0023210698273032904,0.051356726636489235,0.08591426536440849,nan,nan,0.07152240971724193,0.04002058319747448,0.14492687086264291,0.12389515588680904,35595.666666666664,83264.0,0.27461387181385377,0.6924504601585574,0.31678003456323767,227.87561543782553,185.35071818033853,83.44068610420523,0.11523725580301102
strategy_cplus_top-left_ablation,zero,3,1.0,0.08,nan,nan,0.037561594198147454,0.006396796243886153,0.03760660563906034,0.006409709341824055,0.037561594198147454,0.07382908090949059,nan,nan,0.05695838170746962,0.024014942968885105,nan,nan,23979.0,0.0,0.0,0.0,nan,232.5505167643229,232.6040496826172,329.42728579967746,0.4549614603453726
